"Milk supply and dairy production by dairy factories"
""
"";"Topic"
"";"Milk supply|Volume";"Milk supply|Fat content";"Milk supply|Protein content";"Dairy production|Butter";"Dairy production|Cheese";"Dairy production|Milk powder|Total Milk powder";"Dairy production|Milk powder|Whole milk powder";"Dairy production|Milk powder|Skimmed-milk powder";"Dairy production|Concentrated milk";"Dairy production|Whey powder"
"Periods";"1 000 kg";"%";"%";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg";"1 000 kg"
"2015 March";"1061,825";"4.49";"3.49";"11403";"68661";"16437";"10662";"5775";"34581";"."
"2015 April";"1100,420";"4.42";"3.53";"12378";"70249";"16188";"10363";"5825";"34794";"."
"2015 May";"1166,526";"4.28";"3.51";"13394";"74202";"18535";"12240";"6296";"36949";"."
"2015 June";"1145,600";"4.24";"3.50";"11899";"71069";"17437";"11568";"5869";"33047";"."
"2015 July";"1162,176";"4.17";"3.43";"12042";"72938";"18021";"12383";"5638";"32875";"."
"2015 August";"1147,059";"4.21";"3.46";"12228";"72736";"17329";"11964";"5365";"32728";"."
"2015 September";"1091,193";"4.34";"3.54";"9183";"68927";"16559";"11930";"4629";"33082";"."
"2015 October";"1132,078";"4.45";"3.63";"12601";"73688";"17286";"11465";"5821";"32368";"."
"2015 November";"1112,571";"4.48";"3.60";"12871";"68927";"16325";"10583";"5742";"36947";"."
"2015 December";"1205,300";"4.47";"3.57";"15244";"75953";"19100";"13749";"5351";"36632";"."
"2015";"13330,873";"4.38";"3.53";"147577";"844974";"204231";"135660";"68571";"407775";"."
"2016 January";"1214,745";"4.51";"3.57";"16194";"76327";"20324";"13400";"6924";"33365";"."
"2016 Feburary";"1161,335";"4.53";"3.57";"15803";"72494";"19776";"13376";"6400";"32509";"."
"2016 March";"1239,907";"4.55";"3.59";"16329";"76771";"19698";"13713";"5985";"35752";"."
"2016 April";"1218,592";"4.47";"3.54";"14634";"75641";"21226";"14906";"6320";"25866";"."
"2016 May";"1263,123";"4.35";"3.50";"14841";"76351";"22530";"15306";"7224";"31111";"."
"2016 June";"1199,718";"4.24";"3.43";"13267";"72355";"19825";"13659";"6166";"31214";"."
"2016 July";"1218,901";"4.19";"3.45";"12223";"74256";"20227";"14294";"5933";"31099";"."
"2016 August";"1202,383";"4.22";"3.45";"12456";"72496";"19317";"15115";"4202";"31551";"."
"2016 September";"1133,945";"4.22";"3.47";"8760";"71192";"16277";"11262";"5015";"30656";"."
"2016 October";"1154,341";"4.44";"3.61";"12094";"73593";"15854";"10532";"5322";"31570";"."
