date,rain,mintp,maxtp,soil,milk,fat,pro,year,month
2017-09-01,5.633333333333334,9.473333333333333,15.879999999999999,13.417499999999999,654.0,4.34,3.76,2017,September
2017-10-01,4.125806451612903,8.583870967741936,14.103225806451613,11.862903225806452,534.3,4.58,3.82,2017,October
2017-11-01,2.493333333333333,5.0633333333333335,10.313333333333333,8.0,380.8,4.65,3.75,2017,November
2017-12-01,4.074193548387097,3.8451612903225807,8.848387096774195,5.934677419354839,205.5,4.57,3.58,2017,December
2018-01-01,5.051612903225807,3.3193548387096774,9.038709677419355,5.541935483870968,161.8,4.23,3.4,2018,January
2018-02-01,1.7392857142857143,1.2464285714285714,6.875,4.183928571428572,294.2,4.25,3.37,2018,February
2018-03-01,5.319354838709677,1.3129032258064517,7.493548387096775,4.661290322580645,627.5,4.23,3.2,2018,March
2018-04-01,6.0233333333333325,5.430000000000001,11.389999999999999,8.978333333333333,823.1,4.05,3.21,2018,April
2018-05-01,2.670967741935484,7.925806451612903,15.661290322580646,13.278225806451612,993.1,3.81,3.39,2018,May
2018-06-01,0.3466666666666667,11.743333333333334,19.84333333333333,18.824166666666667,924.7,3.82,3.34,2018,June
2018-07-01,1.2935483870967743,12.841935483870968,21.874193548387098,19.780645161290323,853.4,3.91,3.33,2018,July
2018-08-01,1.903225806451613,11.338709677419354,18.89032258064516,16.779838709677417,823.8,4.12,3.49,2018,August
2018-09-01,2.58,8.686666666666667,15.95,13.543333333333333,721.8,4.35,3.77,2018,September
2018-10-01,1.9999999999999998,6.812903225806451,12.98709677419355,10.35725806451613,642.0,4.53,3.95,2018,October
2018-11-01,6.716666666666667,5.61,10.303333333333335,7.721666666666667,461.2,4.74,3.94,2018,November
2018-12-01,6.232258064516129,6.019354838709678,10.54516129032258,7.931451612903226,258.5,4.58,3.66,2018,December
2019-01-01,2.396774193548387,4.467741935483871,8.241935483870968,6.55241935483871,175.3,4.21,3.42,2019,January
2019-02-01,2.9107142857142856,4.882142857142857,9.775,7.003571428571428,303.6,4.32,3.47,2019,February
2019-03-01,4.148387096774194,3.5161290322580645,10.958064516129031,7.679032258064517,708.7,4.23,3.32,2019,March
2019-04-01,4.526666666666667,5.86,11.879999999999999,9.875,953.3,3.94,3.4,2019,April
2019-05-01,1.3225806451612903,7.483870967741935,14.625806451612904,13.253225806451614,1072.2,3.85,3.44,2019,May
2019-06-01,3.683333333333333,9.023333333333333,15.946666666666665,14.251666666666667,1001.0,3.92,3.46,2019,June
2019-07-01,1.4161290322580644,12.483870967741936,19.56451612903226,17.953225806451613,943.2,3.96,3.46,2019,July
2019-08-01,3.4709677419354836,11.832258064516129,18.629032258064516,16.051612903225806,842.8,4.16,3.55,2019,August
2019-09-01,3.0366666666666666,10.020000000000001,17.273333333333333,14.8125,721.9,4.42,3.79,2019,September
2019-10-01,5.780645161290322,6.935483870967742,12.751612903225807,10.018548387096773,604.7,4.74,3.94,2019,October
2019-11-01,4.833333333333333,4.326666666666667,8.876666666666667,6.808333333333334,418.1,4.84,3.85,2019,November
2019-12-01,4.051612903225807,3.6129032258064515,8.82258064516129,5.720967741935484,241.4,4.58,3.62,2019,December
2020-01-01,3.6193548387096777,3.629032258064516,8.674193548387096,5.720967741935484,176.2,4.31,3.48,2020,January
2020-02-01,6.872413793103449,2.993103448275862,8.96551724137931,5.801724137931035,331.7,4.29,3.38,2020,February
2020-03-01,2.0870967741935487,2.6580645161290324,9.606451612903227,6.377419354838709,725.7,4.27,3.29,2020,March
2020-04-01,2.4099999999999997,6.006666666666666,13.123333333333333,10.5075,982.7,3.97,3.43,2020,April
2020-05-01,2.2193548387096773,7.787096774193548,15.09032258064516,13.38225806451613,1115.3,3.87,3.46,2020,May
2020-06-01,3.1366666666666663,10.193333333333333,16.93,15.330000000000002,1031.0,3.97,3.45,2020,June
2020-07-01,3.148387096774193,11.161290322580646,18.4741935483871,16.23467741935484,985.0,4.04,3.51,2020,July
2020-08-01,5.645161290322581,12.187096774193549,18.887096774193548,16.441935483870967,867.6,4.17,3.57,2020,August
2020-09-01,1.9400000000000002,10.106666666666666,16.826666666666668,14.380833333333333,725.4,4.43,3.78,2020,September
2020-10-01,3.825806451612903,6.596774193548387,12.745161290322581,10.071774193548388,646.8,4.71,3.99,2020,October
2020-11-01,5.36,5.846666666666667,10.82,8.5225,449.8,4.86,3.85,2020,November
2020-12-01,5.980645161290322,3.045161290322581,7.929032258064517,5.325806451612903,258.8,4.67,3.67,2020,December
