DATAFLOW,LAST UPDATE,freq,dairyprod,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU15,2019,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2012,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2013,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2014,146390.40,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2015,149936.72,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2016,150261.62,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2017,153917.14,p
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2018,155170.84,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU25,2019,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2012,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2013,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2014,147895.45,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2015,151358.07,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2016,151745.11,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2017,155537.96,p
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2018,156928.95,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2007,2019,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2012,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2013,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2014,133589.34,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2015,136680.20,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2016,137692.77,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2017,140870.05,p
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2018,142194.31,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2019,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU27_2020,2021,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2012,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2013,,c
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2014,148418.14,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2015,151871.50,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2016,152234.77,
ESTAT:APRO_MK_COLA$DEFAULTVIEW(1.0),30/11/22 23:00:00,A,D1110D,THS_T,EU28,2017,156014.75,p
