"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02136V02577","Product","UNIT","VALUE"
"AJM07","Manufacturing Milk Prices (including VAT)","201201","2012 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201202","2012 February","1","Milk (per litre), actual fat and protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201202","2012 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.361"
"AJM07","Manufacturing Milk Prices (including VAT)","201203","2012 March","1","Milk (per litre), actual fat and protein","Euro","0.347"
"AJM07","Manufacturing Milk Prices (including VAT)","201203","2012 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.343"
"AJM07","Manufacturing Milk Prices (including VAT)","201204","2012 April","1","Milk (per litre), actual fat and protein","Euro","0.319"
"AJM07","Manufacturing Milk Prices (including VAT)","201204","2012 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.315"
"AJM07","Manufacturing Milk Prices (including VAT)","201205","2012 May","1","Milk (per litre), actual fat and protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201205","2012 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201206","2012 June","1","Milk (per litre), actual fat and protein","Euro","0.297"
"AJM07","Manufacturing Milk Prices (including VAT)","201206","2012 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201207","2012 July","1","Milk (per litre), actual fat and protein","Euro","0.294"
"AJM07","Manufacturing Milk Prices (including VAT)","201207","2012 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.293"
"AJM07","Manufacturing Milk Prices (including VAT)","201208","2012 August","1","Milk (per litre), actual fat and protein","Euro","0.307"
"AJM07","Manufacturing Milk Prices (including VAT)","201208","2012 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.298"
"AJM07","Manufacturing Milk Prices (including VAT)","201209","2012 September","1","Milk (per litre), actual fat and protein","Euro","0.344"
"AJM07","Manufacturing Milk Prices (including VAT)","201209","2012 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.316"
"AJM07","Manufacturing Milk Prices (including VAT)","201210","2012 October","1","Milk (per litre), actual fat and protein","Euro","0.375"
"AJM07","Manufacturing Milk Prices (including VAT)","201210","2012 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.328"
"AJM07","Manufacturing Milk Prices (including VAT)","201211","2012 November","1","Milk (per litre), actual fat and protein","Euro","0.388"
"AJM07","Manufacturing Milk Prices (including VAT)","201211","2012 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201212","2012 December","1","Milk (per litre), actual fat and protein","Euro","0.364"
"AJM07","Manufacturing Milk Prices (including VAT)","201212","2012 December","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.345"
"AJM07","Manufacturing Milk Prices (including VAT)","201301","2013 January","1","Milk (per litre), actual fat and protein","Euro","0.369"
"AJM07","Manufacturing Milk Prices (including VAT)","201301","2013 January","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.362"
"AJM07","Manufacturing Milk Prices (including VAT)","201302","2013 February","1","Milk (per litre), actual fat and protein","Euro","0.368"
"AJM07","Manufacturing Milk Prices (including VAT)","201302","2013 February","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.358"
"AJM07","Manufacturing Milk Prices (including VAT)","201303","2013 March","1","Milk (per litre), actual fat and protein","Euro","0.353"
"AJM07","Manufacturing Milk Prices (including VAT)","201303","2013 March","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.351"
"AJM07","Manufacturing Milk Prices (including VAT)","201304","2013 April","1","Milk (per litre), actual fat and protein","Euro","0.357"
"AJM07","Manufacturing Milk Prices (including VAT)","201304","2013 April","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.359"
"AJM07","Manufacturing Milk Prices (including VAT)","201305","2013 May","1","Milk (per litre), actual fat and protein","Euro","0.374"
"AJM07","Manufacturing Milk Prices (including VAT)","201305","2013 May","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.374"
"AJM07","Manufacturing Milk Prices (including VAT)","201306","2013 June","1","Milk (per litre), actual fat and protein","Euro","0.383"
"AJM07","Manufacturing Milk Prices (including VAT)","201306","2013 June","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.379"
"AJM07","Manufacturing Milk Prices (including VAT)","201307","2013 July","1","Milk (per litre), actual fat and protein","Euro","0.381"
"AJM07","Manufacturing Milk Prices (including VAT)","201307","2013 July","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.379"
"AJM07","Manufacturing Milk Prices (including VAT)","201308","2013 August","1","Milk (per litre), actual fat and protein","Euro","0.406"
"AJM07","Manufacturing Milk Prices (including VAT)","201308","2013 August","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.39"
"AJM07","Manufacturing Milk Prices (including VAT)","201309","2013 September","1","Milk (per litre), actual fat and protein","Euro","0.437"
"AJM07","Manufacturing Milk Prices (including VAT)","201309","2013 September","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.395"
"AJM07","Manufacturing Milk Prices (including VAT)","201310","2013 October","1","Milk (per litre), actual fat and protein","Euro","0.468"
"AJM07","Manufacturing Milk Prices (including VAT)","201310","2013 October","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.402"
"AJM07","Manufacturing Milk Prices (including VAT)","201311","2013 November","1","Milk (per litre), actual fat and protein","Euro","0.476"
"AJM07","Manufacturing Milk Prices (including VAT)","201311","2013 November","2","Milk (per litre), 3.7% fat and 3.3% protein","Euro","0.41"
